Test	Complex	Distribution	Minimization	RMSD
500	lig	uniform	0	2.699093130007809
500	lig	uniform	0	4.813680565614619
500	lig	uniform	0	3.4799889907376995
500	lig	uniform	0	3.59946023500243
500	lig	uniform	0	3.2400887732464367
500	lig	uniform	0	4.294845941948501
500	lig	uniform	0	4.124822912153896
500	lig	uniform	0	3.0265044110705466
500	lig	uniform	0	3.7804154262994842
500	lig	uniform	0	5.0049692705562085
500	lig	uniform	0	3.142977048213354
500	lig	uniform	0	2.951723351471308
500	lig	uniform	0	4.753680412330848
500	lig	uniform	0	4.097504221633402
500	lig	uniform	0	2.7188387054172094
500	lig	uniform	0	4.011171101956058
500	lig	uniform	0	4.103732825611577
500	lig	uniform	0	4.110206439523757
500	lig	uniform	0	4.46707091138361
500	lig	uniform	0	3.8551585446631895
500	lig	uniform	0	3.6354267223988734
500	lig	uniform	0	4.282106150860836
500	lig	uniform	0	4.8309072631686
500	lig	uniform	0	3.40142500554993
500	lig	uniform	0	2.995834309652547
500	lig	uniform	0	4.459592507685205
500	lig	uniform	0	2.8508072744048185
500	lig	uniform	0	4.310496653993367
500	lig	uniform	0	2.9606101547979615
500	lig	uniform	0	2.636579396380733
500	lig	uniform	0	3.5887469313185054
500	lig	uniform	0	4.099443654604756
500	lig	uniform	0	3.6228390507498935
500	lig	uniform	0	3.2596625985771785
500	lig	uniform	0	4.757597199377334
500	lig	uniform	0	3.4534866152314674
500	lig	uniform	0	3.3912554445954513
500	lig	uniform	0	3.5620647284337545
500	lig	uniform	0	3.5437525171361584
500	lig	uniform	0	3.4509960656556675
500	lig	uniform	0	4.501764530284111
500	lig	uniform	0	3.043450995801286
500	lig	uniform	0	4.018865437242989
500	lig	uniform	0	3.1593589646413682
500	lig	uniform	0	3.1775090772683994
500	lig	uniform	0	3.068328886198128
500	lig	uniform	0	4.618143279651231
500	lig	uniform	0	3.7614939220460992
500	lig	uniform	0	4.073785876564838
500	lig	uniform	0	2.9143443487667704
500	lig	uniform	0	3.176018152289107
500	lig	uniform	0	2.753370264982022
500	lig	uniform	0	3.8605755538918203
500	lig	uniform	0	3.0263604216061584
500	lig	uniform	0	3.445327653693512
500	lig	uniform	0	3.501413728175687
500	lig	uniform	0	2.933108360247875
500	lig	uniform	0	3.48634102432025
500	lig	uniform	0	3.0054049599243844
500	lig	uniform	0	3.531042499320851
500	lig	uniform	0	3.3750259089677024
500	lig	uniform	0	3.6846437732506536
500	lig	uniform	0	3.701808803875989
500	lig	uniform	0	3.966258098192056
500	lig	uniform	0	4.525913649868347
500	lig	uniform	0	3.0674754639994
500	lig	uniform	0	3.1859095508855835
500	lig	uniform	0	4.263455930564661
500	lig	uniform	0	3.7357637392869343
500	lig	uniform	0	4.067476039033596
500	lig	uniform	0	4.405619579232151
500	lig	uniform	0	3.0033087678776162
500	lig	uniform	0	4.560292888323186
500	lig	uniform	0	3.51958200600549
500	lig	uniform	0	3.1995242369806975
500	lig	uniform	0	3.1734609048866145
500	lig	uniform	0	3.5273296028299352
500	lig	uniform	0	2.741650841391455
500	lig	uniform	0	4.373213411009431
500	lig	uniform	0	3.9355162398840666
500	lig	uniform	0	3.1161948544151734
500	lig	uniform	0	4.586772456314672
500	lig	uniform	0	2.8764722380000056
500	lig	uniform	0	3.1075781235624875
500	lig	uniform	0	2.804250185977022
500	lig	uniform	0	2.895254922778598
500	lig	uniform	0	3.4964564874952626
500	lig	uniform	0	3.909328960356944
500	lig	uniform	0	2.994112150954009
500	lig	uniform	0	3.768853295283801
500	lig	uniform	0	4.365544293817417
500	lig	uniform	0	4.75504896922418
500	lig	uniform	0	4.7748474512327865
