Test	Cpx	Angle	Inter	Dist	Minimizer	RMSD
1000	1QDL	30	1i1q_CB	normal	0	56.659262669913524
1000	1QDL	30	1i1q_CB	normal	0	69.27327533164797
1000	1QDL	30	1i1q_CB	normal	0	67.07207332104956
1000	1QDL	30	1i1q_DB	normal	0	21.26018736598219
1000	1QDL	30	1i1q_DB	normal	0	21.9461304887074
1000	1QDL	30	1i1q_DB	normal	0	20.399889376116214
1000	1QDL	30	1i1q_DB	normal	0	23.822605676219556
1000	1QDL	30	1i1q_DB	normal	0	21.44681816753473
1000	1QDL	30	1i1q_DB	normal	0	24.17522278885755
1000	1QDL	30	1i1q_DB	normal	0	19.260710999441393
1000	1QDL	30	1i1q_CB	normal	0	84.34057788885997
1000	1QDL	30	1i1q_DB	normal	0	24.018510931744053
1000	1QDL	30	1i1q_CB	normal	0	72.97171036725928
1000	1QDL	30	1i1q_DB	normal	0	20.53467175587106
1000	1QDL	30	1i1q_DB	normal	0	21.382367878186802
1000	1QDL	30	1i1q_CB	normal	0	57.358707308369084
1000	1QDL	30	1i1q_DB	normal	0	25.454880264591697
1000	1QDL	30	1i1q_DB	normal	0	21.790433425612466
1000	1QDL	30	1i1q_CB	normal	0	78.31996210534514
1000	1QDL	30	1i1q_CB	normal	0	57.98534404153549
1000	1QDL	30	1i1q_CB	normal	0	56.752220188489446
1000	1QDL	30	1i1q_DB	normal	0	30.697489993250795
1000	1QDL	30	1i1q_CB	normal	0	65.29147986974273
1000	1QDL	30	1i1q_CB	normal	0	87.40440649062664
1000	1QDL	30	1i1q_CB	normal	0	81.63152095117307
1000	1QDL	30	1i1q_DB	normal	0	21.31973735576161
1000	1QDL	30	1i1q_DB	normal	0	23.736286609378947
1000	1QDL	30	1i1q_DB	normal	0	22.252994041858393
1000	1QDL	30	1i1q_CB	normal	0	69.4986143505389
1000	1QDL	30	1i1q_DB	normal	0	22.928090911113298
1000	1QDL	30	1i1q_CB	normal	0	56.932290671140805
1000	1QDL	30	1i1q_DB	normal	0	20.78831867572412
1000	1QDL	30	1i1q_CB	normal	0	75.39009214952848
1000	1QDL	30	1i1q_DB	normal	0	19.662383253295708
1000	1QDL	30	1i1q_CB	normal	0	59.25389448761697
1000	1QDL	30	1i1q_CB	normal	0	79.24145095610498
1000	1QDL	30	1i1q_CB	normal	0	62.9899624692178
1000	1QDL	30	1i1q_DB	normal	0	22.06666888535587
1000	1QDL	30	1i1q_CB	normal	0	62.9098382881172
1000	1QDL	30	1i1q_DB	normal	0	22.688032468487776
1000	1QDL	30	1i1q_CB	normal	0	76.87261188088986
1000	1QDL	30	1i1q_DB	normal	0	22.38029210994361
1000	1QDL	30	1i1q_DB	normal	0	22.125812359463136
